Region,North and North East Europe,North and North East Europe,Western Europe,Western Europe,Central and South East Europe,Central and South East Europe,Southern Europe and North Africa,Southern Europe and North Africa,Europe + North Africa total,Europe + North Africa total,Turkey and Middle East,Turkey and Middle East,Remainder of Africa,Remainder of Africa,Asia,Asia,West Indies,West Indies,Central and South America,Central and South America,Australia+New Zealand,Australia+New Zealand,North America (USA+Canada),North America (USA+Canada)
Year,Imports,Exports ,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports
1908,66.2,37.6,82.7,64.7,65.7,54.4,27.1,31.6,241.7,188.3,23.1,17.8,14.2,24.5,53.8,85.3,3.8,5.5,60.7,41,43.8,35.2,148.7,57.2
1909,73.2,35,87.2,67.1,69,54.4,27.4,27.3,256.8,183.8,25.4,16.6,16.9,27.5,63.8,77.3,3.8,5.7,61.5,43.5,50.3,35.3,143.9,78.1
1910,81.8,39.7,91.8,73.1,72.8,63,28.5,29.2,274.9,205,26.3,18.8,19.7,37.2,79.5,84.2,6.3,6.1,65.9,54.6,59.5,40.5,143.8,85.8
1911,82.1,41.1,91.2,76.4,79.1,67.6,29.3,30.8,281.7,215.9,27.9,21.4,19.1,37.4,83.8,97.2,3.8,6.6,56.6,51.7,57,45.1,148,79.5
1912,83,42.3,101.2,81.2,80.8,70.1,31,34.8,296,228.4,33.5,19.3,20.9,40.3,97.2,104.9,5.3,6.8,70.3,54.7,56.4,49.5,162.3,92.8
1913,86,50.2,104.4,87.2,90.2,68.8,30.6,36.7,311.2,242.9,27.6,19.2,22.9,41.8,92.6,128.3,6.1,6.3,73.7,56.5,58.4,49.6,173.2,87.8
1914,75.4,45.4,88.3,72.5,54.9,42.8,31,32.5,249.6,193.2,22.4,15.1,23.9,35.2,93.5,107,7.1,5.6,66.2,34.3,59.9,47.5,171,85.7
1915,77.8,56.6,71.7,116,0.3,1.4,40.5,38.8,190.3,212.8,24.4,10.3,33.4,34.3,130.7,77.6,12.6,5.4,100.1,26.4,75.6,42,280,73
1916,78.4,70.1,65.5,146.5,0.1,0.1,50.7,49.2,194.7,265.9,28.5,13.3,38.6,44.3,151.8,97.9,18.4,5.9,91.8,35.5,67.8,52,352.3,86.6
1917,69.6,73.3,54.4,160,0,0,42.6,54.8,166.6,288.1,34.1,17.3,39.6,39,148.3,98.1,24.4,4.9,91.6,36.5,93.4,31.4,461.4,78.3
1918,58.2,17.6,55.9,169.1,0,0,68,59.1,182.1,245.8,55.2,26.1,47.1,43,157.8,92.4,31,4.2,121.2,44.7,69.9,36.1,640.7,42.1
1919,78.8,117.7,94.3,324.6,1.5,32.6,76.9,78.9,251.5,553.8,72.2,45.4,74.4,48.2,230.4,134.8,29.4,5,138.7,50.9,164.1,37.7,659.4,84.1
1920,145.5,132.8,197,321.9,36.3,66,78.2,114.9,457,635.6,86.1,80.2,80.6,104.5,238.6,327.2,41,15.6,201.9,112.1,159.8,96.3,660.7,181
1921,86.7,50.3,145.3,129.4,33.1,58.9,43.9,52.9,309,291.5,39.4,36.6,48.5,59.2,101.5,200.4,13.1,7.7,112.2,60.3,116.8,63.9,338.6,86.2
1922,94.1,51.1,128.4,152.6,39,59.2,42.2,51.7,303.7,314.6,45.5,29.7,42.7,51.7,100.6,171.8,15.7,7.6,98.2,54,113.3,82.3,278.6,105.7
1923,110,52.4,143,147.8,54.5,72.5,47,50.4,354.5,323.1,46.4,28.3,46.4,57.8,130,163.6,16.1,9.2,107,65.2,92,83.6,266.2,116.7
1924,126.5,61.4,166.6,137.6,64.5,86.6,51.2,51.8,408.8,337.4,50.8,28.8,52.2,61.1,142.4,173.9,21.3,8.9,128.2,67,106,87.3,309,111.2
1925,130,62.1,166.6,125.3,70.1,87.2,51.1,51.6,417.8,326.2,45.3,31.7,60.2,67.9,160.5,157.1,22.3,8.6,120.9,74.1,123.9,88.2,317.9,115.4
1926,127.7,46.9,169.1,93.4,97.9,59.6,42.8,33.1,437.5,233,38.7,22,53.7,63.9,137.9,150,13.3,7.4,111.5,51.7,107.8,85.2,294.5,104.9
1927,134.1,47.3,169.5,102.4,83.1,86.6,47.9,42.8,434.6,279.1,40.1,23.3,56.2,68.1,142.7,150.9,16.8,8.2,122.7,66.1,99.2,84.1,257.6,99.2
1928,130.9,42.2,161.8,107,81,85.5,45.5,43.2,419.2,277.9,41.6,21.4,60,69.7,127,157.2,22.9,8.6,122.6,73.1,101.7,78,247.6,106.9
1929,146.6,47.5,157.1,112.4,91.6,86.7,48,46.8,443.3,293.4,38.1,23.7,59,68.1,135.7,149.7,18.4,8.6,129.3,73.4,103.3,78.5,244.4,100.6
1930,143.4,50.3,140,95.1,89.8,57.1,41.6,38.5,414.8,241,27.5,19.4,45.8,58.7,106.6,100.8,17.3,7.3,97.4,55.6,91.3,51.7,193.9,72
1931,123.1,38.2,121.3,68.3,87.7,41.3,37.5,27.4,369.6,175.2,20.5,12.9,29.7,42.5,79.2,66.8,13.2,5.8,82.7,30.4,83.5,26.9,138.9,48.9
1932,99.7,39.1,62.7,58.5,45.9,34.3,30.9,25.4,239.2,157.3,21.2,13.8,35,36.4,68.4,67.6,18.1,6.2,75.3,25.1,83,31.2,128.7,38.9
1933,94.7,36.2,56.1,57.7,46.8,34.3,28.2,23.9,225.8,152.1,23.5,14.1,33.9,41.5,69.8,61.4,19.2,6.2,67.9,30.9,85.8,31.9,124.2,45.5
1934,98.5,45.8,60.9,55.9,49.2,34.5,28.9,27.4,237.5,163.6,22.9,15.1,32.2,48.4,89.9,65.5,20.2,6.6,80.1,32.7,90.3,38.7,134.8,45.2
1935,101.3,50.7,66.2,55.6,50.1,37.9,28.3,26.8,245.9,171,25.9,17.7,37.8,57,86.5,66.3,22.5,6.8,73.8,32.5,92.4,43.6,145.7,53.7
1936,108.5,56.7,76.3,59.3,62.2,39.7,23.6,15.5,270.6,171.2,27.6,16.9,44,62.7,94.7,63.6,27.2,7.3,79.7,33.3,105,50.6,170.6,62.3
1937,137.1,72.7,88.8,69.9,67.5,37.1,29.2,20.4,322.6,200.1,33.8,19,59.4,73,122.9,76.9,33.7,8.7,97.9,43.1,121.6,58.9,206.1,72.4
1938,122.4,66,79.4,55.1,57.6,42.6,25,22.3,284.4,186,27.9,22.3,46.5,63.8,108.2,68.8,31.5,8.1,70.7,37,118.7,58.4,199.3,53.4
1939,106.4,59.7,85.1,52,39.1,26.9,27,17.8,257.6,156.4,29,21,51,57.9,99.6,61,32.9,7.2,77.8,36.8,103.8,49.3,199.4,60.8
1940,34.3,20.4,41.5,36.6,12.2,3,25.5,14.3,113.5,74.3,31.7,24.2,75.4,59.6,149.1,66,44.4,7.5,108.4,37,152.6,63.5,428.3,72.1
1941,9.6,34.1,1.4,0.9,0.4,0.1,16,9.2,27.4,44.3,17.3,23.8,75.9,62.7,118.6,62.1,71.6,6.8,88.8,29.9,102.8,53,602.8,72.3
1942,10.3,80.5,1.2,1.2,0.1,0,16.8,6.2,28.4,87.9,20.2,23.3,85.8,59.1,84.1,28.7,49.2,6.7,83.6,26.7,100.5,89.2,714,59
1943,9.5,61.8,1,0.4,0,0,21.8,20.5,32.3,82.7,14.8,23.4,87.4,59,85.5,20.8,57.6,6.5,98.6,22.7,82.6,64,1388.9,57.1
1944,13,58.7,3.1,12.5,0,0,29.5,18.2,45.6,89.4,24.5,19.9,102.7,60.4,86.3,28.2,52.6,5.6,113.4,11.3,111,67.8,1780.5,49.5
1945,45.1,46.3,9.1,52.8,2.1,11.1,35,18.4,91.3,128.6,25.9,29.9,78.3,70.9,87.1,42.7,50.4,7,87.9,17.6,115.7,64.7,933.6,50.4
